,Line num,Command,Notes
0,1,\documentclass,article
1,2,\usepackage, babel
2,3,\usepackage,inputenc
3,4,\usepackage,babel
4,5,\usepackage,graphicx
5,6,\usepackage,subfig
6,7,\usepackage,amssymb
7,8,\usepackage,amsmath
8,9,\usepackage,amsthm
9,10,\usepackage,enumerate
10,11,\usepackage,cite
11,12,\usepackage,xcolor
12,13,\newtheoremstyle,N/A
13,14,\theoremstyle,casep
14,15,\newtheorem,N/A
15,16,\newcommand,\C -> \mathbb{C}
16,17,\newcommand,\Z -> \mathbb{Z}
17,18,\newcommand,\Pj -> \mathbb{P}
18,19,\newcommand,\R -> \mathbb{R}
19,20,\newcommand,\N -> \mathbb{N}
20,21,\newcommand,\F -> \mathbb{F}
21,22,\newcommand,\Oc -> \mathcal{O}
22,23,\newcommand,\Lc -> \mathcal{L}
23,24,\newcommand,\G -> \mathbb{G}
24,25,\newcommand,\V -> \mathbb{V}
25,26,\newcommand,\I -> \mathbb{I}
26,27,\newcommand,\K -> \mathbb{K}
27,28,\newtheorem,N/A
28,29,\newtheorem,N/A
29,30,\newtheorem,N/A
30,31,\newtheorem,N/A
31,32,\theoremstyle,definition
32,33,\newtheorem,N/A
33,34,\newtheorem,N/A
34,35,\newtheorem,N/A
35,36,\newtheorem,N/A
36,37,\newtheorem,N/A
37,38,\newtheorem,N/A
38,39,\newcommand,\codim -> \operatorname{codim}
39,40,\newcommand,\rank -> \operatorname{rank}
40,41,\newcommand,\imm -> \operatorname{im}
41,42,\usepackage,xcolor
42,43,\newcommand,\andrea -> {\color{blue}#1}
43,44,\newcommand,\correggere -> {\color{red}#1}
44,45,document,Environment
45,46,\title,On a geometric method for the identifiability of forms.
46,47,\date,
47,48,\author,Andrea Mazzon
48,49,\maketitle,N/A
49,50,abstract,Environment
50,52,\cite,sette
51,53,\emph,Keywords: Algebraic Geometry \and Tensor Analysis \and Veronese Varieties \and Symmetric tensors
52,53,\and,Keywords: Algebraic Geometry \and Tensor Analysis \and Veronese Varieties \and Symmetric tensors
53,53,\and,Keywords: Algebraic Geometry \and Tensor Analysis \and Veronese Varieties \and Symmetric tensors
54,53,\and,Keywords: Algebraic Geometry \and Tensor Analysis \and Veronese Varieties \and Symmetric tensors
55,55,\section,Introduction
56,56,\label,introduction
57,58,\cite,sette
58,59,\cite,tredici
59,62,\cite,N/A
60,62,\cite,N/A
61,62,\cite,N/A
62,63,\cite,diciotto
63,64,\emph,small
64,65,\cite,N/A
65,65,\emph,N/A
66,66,\ref,remark:span
67,68,\emph,special position
68,74,\emph,Cayley-Bacharach properties
69,77,\cite,diciannove
70,78,\cite,N/A
71,78,\cite,N/A
72,84,\ref,compucost
73,89,\cite,N/A
74,89,\cite,N/A
75,89,\cite,N/A
76,89,\cite,N/A
77,90,\section,Notation and preliminaries
