,line num,Command
0,1,\documentclass
1,2,\usepackage
2,4,\usepackage
3,6,\numberwithin
4,8,\DeclareMathOperator
5,8,\divergence
6,9,\DeclareMathOperator
7,9,\loc
8,10,\DeclareMathOperator
9,10,\Scal
10,11,\DeclareMathOperator
11,11,\Ricci
12,12,\DeclareMathOperator
13,12,\Riemann
14,13,\DeclareMathOperator
15,13,\Weyl
16,14,\DeclareMathOperator
17,14,\Schouten
18,15,\DeclareMathOperator
19,15,\Bach
20,16,\DeclareMathOperator
21,16,\Beta
22,17,\DeclareMathOperator
23,17,\Sym
24,18,\DeclareMathOperator
25,18,\Vol
26,19,\DeclareMathOperator
27,19,\Tr
28,20,\DeclareMathOperator
29,20,\bigO
30,21,\DeclareMathOperator
31,21,\smallo
32,22,\newcommand
33,22,\R
34,22,\mathbb
35,23,\renewcommand
36,23,\S
37,23,\mathbb
38,24,\newcommand
39,24,\N
40,24,\mathbb
41,25,\newcommand
42,25,\Z
43,25,\mathbb
44,26,\newcommand
45,26,\left
46,27,\renewcommand
47,27,\right
48,28,\renewcommand
49,28,\left
50,29,\renewcommand
51,29,\right
52,30,\renewcommand
53,30,\left
54,31,\renewcommand
55,31,\right
56,33,\newtheorem
57,34,\newtheorem
58,35,\newtheorem
59,36,\newtheorem
60,38,document
61,40,\title
62,42,\author
63,44,\address
64,45,\email
65,48,\author
66,50,\address
67,51,\email
68,53,\thanks
69,56,\date
70,58,abstract
71,59,\ge
72,59,\ge1
73,62,\maketitle
74,64,\section
75,64,\label
76,66,\ge1
77,67,equation
78,68,\left
79,68,\right
80,68,\quad
81,68,\text
82,70,\Delta
83,70,\Delta
84,70,\delta
85,70,\cite
86,70,\cites
87,70,\cite
88,70,\cites
89,70,\eqref
90,70,\nobreak
91,70,\cites
92,70,\eqref
93,70,\frac
94,72,\smallskip
95,73,\it
96,74,\int_MuP_
97,74,\ge
98,74,\int_Mu
99,75,\in
100,77,\smallskip
101,78,\eqref
102,78,\equiv1
103,78,\cite
104,78,\cite
105,78,\cite
106,78,\cite
107,78,\ge1
108,78,\cite
109,78,\cite
110,78,\ge2
111,78,\cite
112,78,\cite
113,78,\cites
114,78,\cite
115,78,\cites
116,78,\cite
117,78,\cite
118,78,\eqref
119,78,\ge
