,line num,Command
0,1,\documentclass
1,2,\usepackage
2,3,\usepackage
3,4,\usepackage
4,5,\usepackage
5,6,\usepackage
6,7,\usepackage
7,8,\usepackage
8,9,\usepackage
9,10,\usepackage
10,11,\usepackage
11,14,\textwidth5
12,15,\textheight8
13,16,\hoffset
14,17,\voffset
15,19,\oddsidemargin0
16,19,\evensidemargin0
17,24,\vfuzz2pt
18,25,\hfuzz2pt
19,28,\newtheorem
20,29,\newtheorem
21,30,\newtheorem
22,31,\newtheorem
23,32,\newtheorem
24,33,\newtheorem
25,34,\newtheorem
26,35,\newtheorem
27,36,\usepackage
28,38,be
29,40,\def
30,40,\dem
31,40,\noindent
32,40,\bf
33,41,\def
34,41,\refname
35,42,\def
36,42,\abstractname
37,43,\def
38,43,\bibname
39,44,\def
40,44,\contentsname
41,46,\def
42,46,\vsp
43,46,\vspace
44,47,\def
45,47,\sqw
46,47,\hbox
47,47,\rlap
48,47,\leavevmode
49,47,\raise
50,47,\hbox
51,47,\sqcap
52,48,\sqcup
53,49,\def
54,49,\findem
55,49,\ifmmode
56,49,\sqw
57,49,\else
58,49,\ifhmode
59,49,\unskip
60,49,\fi
61,49,\nobreak
62,49,\hfil
63,50,\penalty50
64,50,\hskip1em
65,50,\null
66,50,\nobreak
67,50,\hfil
68,50,\sqw
69,51,\parfillskip
70,51,\finalhyphendemerits
71,51,\endgraf
72,51,\fi
73,54,\newcommand
74,54,\pb
75,54,\smallskip
76,54,\noindent
77,55,\newcommand
78,55,\mb
79,55,\medskip
80,55,\noindent
81,56,\newcommand
82,56,\gb
83,56,\bigskip
84,56,\noindent
85,57,\newcommand
86,57,\R
87,57,\mathbb
88,58,\newcommand
89,58,\Q
90,58,\mathbb
91,59,\newcommand
92,59,\N
93,59,\mathbb
94,60,\newcommand
95,60,\Z
96,60,\mathbb
97,61,\newcommand
98,61,\C
99,61,\mathbb
100,62,\newcommand
101,62,\s
102,62,\mathbf
103,63,\newcommand
104,63,\F
105,63,\mathcal
106,64,\newcommand
107,64,\M
108,64,\mathcal
109,65,\newcommand
110,65,\RB
111,65,\overline
112,65,\mathbb
113,66,\newcommand
114,66,\ww
115,66,\langle
116,67,\newcommand
117,67,\xx
118,67,\rangle
119,68,\newcommand
120,68,\p
