,Line num,Command,Notes
0,2,\documentclass,amsart
1,3,\usepackage,"tikz,tikz-cd"
2,4,\usepackage,url
3,5,\usepackage,graphicx
4,6,\usepackage,graphicx
5,7,\usepackage,color
6,8,\usepackage,times
7,9,\usepackage,cite
8,10,\usepackage,"enumerate,latexsym"
9,11,\usepackage,latexsym
10,12,\usepackage,"amsmath,amssymb"
11,13,\usepackage,graphicx
12,14,\usepackage,amsthm
13,15,\usepackage,verbatim
14,16,\vfuzz2pt,N/A
15,17,\hfuzz2pt,N/A
16,18,\newtheorem,N/A
17,19,\newtheorem,N/A
18,20,\newtheorem,N/A
19,21,\newtheorem,N/A
20,22,\newtheorem,N/A
21,23,\newtheorem,N/A
22,24,\newtheorem,N/A
23,25,\newtheorem,N/A
24,26,\theoremstyle,definition
25,27,\newtheorem,N/A
26,28,\theoremstyle,remark
27,29,\newtheorem,N/A
28,30,\newtheorem,N/A
29,31,\newtheorem,N/A
30,32,\numberwithin,N/A
31,33,\newcommand,\norm -> \left\Vert#1\right\Vert
32,34,\newcommand,\abs -> \left\vert#1\right\vert
33,35,\newcommand,\set -> \left\{#1\right\}
34,36,\newcommand,\Real -> \mathbb R
35,37,\newcommand,\eps -> \varepsilon
36,38,\newcommand,\To -> \longrightarrow
37,39,\newcommand,\BX -> \mathbf{B}(X)
38,40,\newcommand,\A -> \mathcal{A}
39,41,\newcommand,\func -> \ensuremath{\mathop{\mathrm{#1}}} 
40,42,\newcommand,\Hess -> \func{Hess}
41,43,\newcommand,\Div -> \func{div}
42,44,\newcommand,"\pRect -> S_{{#1},{#2}}^{{#3},{#4}}"
43,45,\newcommand,\Rmin -> R_{\mbox{min}}
44,46,\newcommand,\dist -> \mathrm{dist}
45,47,\newcommand,\re -> \func{Re}
46,48,\newcommand,\im -> \func{Im}
47,49,\newcommand,\inj -> \func{inj}
48,50,\newcommand,\spt -> \func{spt}
49,51,\newcommand,\osc -> \mathop{\mathrm{osc}}
50,52,\newcommand,\diam -> \func{diam}
51,53,\newcommand,\sing -> \func{sing}
52,54,\newcommand,\reg -> \func{reg}
53,55,\newcommand,\xX -> \mathbf{x}
54,56,\newcommand,\xx -> \mathrm{x}
55,57,\newcommand,\FF -> \mathbf{F}
56,58,\newcommand,\yY -> \mathbf{y}
57,59,\newcommand,\hH -> \mathbf{H}
58,60,\newcommand,\sS -> \mathbf{S}
59,61,\newcommand,\vV -> \mathbf{v}
60,62,\newcommand,\eE -> \mathbf{e}
