,Line num,Command
0,1,\chapter
1,9,\cite
2,11,\section
3,13,\NN
4,13,\NN
5,13,\dots
6,15,thm
7,17,\NN
8,18,\index
9,18,\emph
10,19,subthm
11,20,\subset
12,20,\NN
13,23,\emph
14,23,\index
15,23,\index
16,24,subthm
17,25,\subset
18,25,\NN
19,29,\subset
20,29,\NN
21,30,\index
22,30,\emph
23,31,\index
24,31,\emph
25,31,\NN
26,33,\parbf
27,34,\mathfrak
28,34,\NN
29,35,enumerate
30,36,\item
31,36,\label
32,36,\in
33,36,\mathfrak
34,36,\supset
35,36,\in
36,36,\mathfrak
37,37,\item
38,37,\label
39,37,\in
40,37,\mathfrak
41,37,\cap
42,37,\in
43,37,\mathfrak
44,38,\item
45,38,\label
46,38,\subset
47,38,\NN
48,38,\mathfrak
49,39,\item
50,39,\label
51,39,\subset
52,39,\NN
53,39,\notin
54,39,\mathfrak
55,41,\in
56,41,\mathfrak
57,41,\Leftrightarrow
58,43,\mathfrak
59,43,\ref
60,43,\ref
61,43,\index
62,43,\emph
63,44,\mathfrak
64,44,\ref
65,44,\index
66,44,\emph
67,46,\mathfrak
68,46,\mathfrak
69,49,\parbf
70,49,\v
71,50,\subset
72,50,\NN
73,50,\Omega_S
74,51,\Omega_S
75,51,\subset
76,51,\NN
77,51,\NN
78,52,\index
79,52,\v
80,52,\emph
81,52,\v
82,52,\NN
83,53,\beta
84,53,\NN
85,55,\omega_n
86,55,\omega_n
87,55,\omega_n
88,55,\in
89,56,\mapsto
90,56,\omega_n
91,56,\NN
92,56,\hookrightarrow
93,56,\beta
94,56,\NN
95,57,\NN
96,57,\beta
97,57,\NN
98,59,\beta
99,59,\NN
100,59,\NN
101,60,\spc
102,61,\NN
103,61,\to
104,61,\spc
105,61,\bar
106,61,\beta
107,61,\NN
108,61,\to
109,61,\bar
110,61,\NN
111,63,\section
112,64,\label
113,64,\index
114,69,\spc
115,70,\index
116,70,\emph
117,71,\eps
118,71,\oBall
119,71,\eps
120,77,\in
121,77,\NN
122,80,\NN
123,80,\to
124,80,\spc
125,81,\NN
126,81,\to
127,81,\spc
128,81,\beta
129,81,\NN
130,81,\to
131,81,\spc
132,81,\v
133,81,\NN
134,88,thm
135,90,\spc
136,91,\to
137,91,\to
138,93,\in
139,96,\parit
140,97,\eps
141,98,\eps
142,98,\set
143,98,\in
144,98,\NN
145,98,\dist
146,98,\eps
147,100,\eps
148,100,\eps
149,101,\eps
150,103,\in
151,103,\frac1k
152,103,\in
153,103,\NN
154,104,\to
155,104,\to
